candidate_order,case_id,action_id,expert_id,relevance_score,approval_status,missing_action,safety_concern,escalation_required,reason_support,comment
8,case_65cd0aa4a0316bb3e03611c2,STUDY_SCHEDULE,expert_01,,,,,,,
9,case_65cd0aa4a0316bb3e03611c2,ASSESSMENT_COMPLETION,expert_01,,,,,,,
1,case_b91c5bdfcd5541401122be26,ADVISOR_ESCALATION,expert_01,,,,,,,
2,case_b91c5bdfcd5541401122be26,LEARNING_CONSOLIDATION,expert_01,,,,,,,
3,case_b91c5bdfcd5541401122be26,ASSESSMENT_COMPLETION,expert_01,,,,,,,
4,case_b91c5bdfcd5541401122be26,VLE_ENGAGEMENT,expert_01,,,,,,,
5,case_b91c5bdfcd5541401122be26,DIAGNOSTIC_CHECK,expert_01,,,,,,,
6,case_b91c5bdfcd5541401122be26,INSTRUCTOR_CONTACT,expert_01,,,,,,,
7,case_b91c5bdfcd5541401122be26,PROGRESS_MONITORING,expert_01,,,,,,,
8,case_b91c5bdfcd5541401122be26,STUDY_SCHEDULE,expert_01,,,,,,,
9,case_b91c5bdfcd5541401122be26,RETRIEVAL_PRACTICE,expert_01,,,,,,,
1,case_30d8fca8784a7ada1b61ea49,ASSESSMENT_COMPLETION,expert_01,,,,,,,
2,case_30d8fca8784a7ada1b61ea49,RETRIEVAL_PRACTICE,expert_01,,,,,,,
3,case_30d8fca8784a7ada1b61ea49,VLE_ENGAGEMENT,expert_01,,,,,,,
4,case_30d8fca8784a7ada1b61ea49,LEARNING_CONSOLIDATION,expert_01,,,,,,,
5,case_30d8fca8784a7ada1b61ea49,ADVISOR_ESCALATION,expert_01,,,,,,,
6,case_30d8fca8784a7ada1b61ea49,PROGRESS_MONITORING,expert_01,,,,,,,
7,case_30d8fca8784a7ada1b61ea49,DIAGNOSTIC_CHECK,expert_01,,,,,,,
8,case_30d8fca8784a7ada1b61ea49,STUDY_SCHEDULE,expert_01,,,,,,,
9,case_30d8fca8784a7ada1b61ea49,INSTRUCTOR_CONTACT,expert_01,,,,,,,
1,case_9c29eceb9ee37c75116a3051,ASSESSMENT_COMPLETION,expert_01,,,,,,,
2,case_9c29eceb9ee37c75116a3051,RETRIEVAL_PRACTICE,expert_01,,,,,,,
3,case_9c29eceb9ee37c75116a3051,LEARNING_CONSOLIDATION,expert_01,,,,,,,
4,case_9c29eceb9ee37c75116a3051,INSTRUCTOR_CONTACT,expert_01,,,,,,,
5,case_9c29eceb9ee37c75116a3051,ADVISOR_ESCALATION,expert_01,,,,,,,
6,case_9c29eceb9ee37c75116a3051,STUDY_SCHEDULE,expert_01,,,,,,,
7,case_9c29eceb9ee37c75116a3051,PROGRESS_MONITORING,expert_01,,,,,,,
8,case_9c29eceb9ee37c75116a3051,DIAGNOSTIC_CHECK,expert_01,,,,,,,
9,case_9c29eceb9ee37c75116a3051,VLE_ENGAGEMENT,expert_01,,,,,,,
1,case_265d0c4e5d4ef257c1af0c59,STUDY_SCHEDULE,expert_01,,,,,,,
2,case_265d0c4e5d4ef257c1af0c59,ADVISOR_ESCALATION,expert_01,,,,,,,
3,case_265d0c4e5d4ef257c1af0c59,INSTRUCTOR_CONTACT,expert_01,,,,,,,
4,case_265d0c4e5d4ef257c1af0c59,ASSESSMENT_COMPLETION,expert_01,,,,,,,
5,case_265d0c4e5d4ef257c1af0c59,DIAGNOSTIC_CHECK,expert_01,,,,,,,
6,case_265d0c4e5d4ef257c1af0c59,VLE_ENGAGEMENT,expert_01,,,,,,,
7,case_265d0c4e5d4ef257c1af0c59,PROGRESS_MONITORING,expert_01,,,,,,,
8,case_265d0c4e5d4ef257c1af0c59,LEARNING_CONSOLIDATION,expert_01,,,,,,,
9,case_265d0c4e5d4ef257c1af0c59,RETRIEVAL_PRACTICE,expert_01,,,,,,,
1,case_a395588435509025f4b003b5,PROGRESS_MONITORING,expert_01,,,,,,,
2,case_a395588435509025f4b003b5,INSTRUCTOR_CONTACT,expert_01,,,,,,,
3,case_a395588435509025f4b003b5,DIAGNOSTIC_CHECK,expert_01,,,,,,,
4,case_a395588435509025f4b003b5,LEARNING_CONSOLIDATION,expert_01,,,,,,,
5,case_a395588435509025f4b003b5,VLE_ENGAGEMENT,expert_01,,,,,,,
6,case_a395588435509025f4b003b5,ADVISOR_ESCALATION,expert_01,,,,,,,
7,case_a395588435509025f4b003b5,STUDY_SCHEDULE,expert_01,,,,,,,
8,case_a395588435509025f4b003b5,RETRIEVAL_PRACTICE,expert_01,,,,,,,
9,case_a395588435509025f4b003b5,ASSESSMENT_COMPLETION,expert_01,,,,,,,
1,case_e24ef28a7628f9684fc08724,VLE_ENGAGEMENT,expert_01,,,,,,,
2,case_e24ef28a7628f9684fc08724,LEARNING_CONSOLIDATION,expert_01,,,,,,,
3,case_e24ef28a7628f9684fc08724,INSTRUCTOR_CONTACT,expert_01,,,,,,,
4,case_e24ef28a7628f9684fc08724,ADVISOR_ESCALATION,expert_01,,,,,,,
5,case_e24ef28a7628f9684fc08724,ASSESSMENT_COMPLETION,expert_01,,,,,,,
6,case_e24ef28a7628f9684fc08724,RETRIEVAL_PRACTICE,expert_01,,,,,,,
7,case_e24ef28a7628f9684fc08724,DIAGNOSTIC_CHECK,expert_01,,,,,,,
8,case_e24ef28a7628f9684fc08724,STUDY_SCHEDULE,expert_01,,,,,,,
9,case_e24ef28a7628f9684fc08724,PROGRESS_MONITORING,expert_01,,,,,,,
1,case_f9a89acdb8cab78523100584,VLE_ENGAGEMENT,expert_01,,,,,,,
2,case_f9a89acdb8cab78523100584,RETRIEVAL_PRACTICE,expert_01,,,,,,,
3,case_f9a89acdb8cab78523100584,ADVISOR_ESCALATION,expert_01,,,,,,,
4,case_f9a89acdb8cab78523100584,ASSESSMENT_COMPLETION,expert_01,,,,,,,
5,case_f9a89acdb8cab78523100584,LEARNING_CONSOLIDATION,expert_01,,,,,,,
6,case_f9a89acdb8cab78523100584,PROGRESS_MONITORING,expert_01,,,,,,,
7,case_f9a89acdb8cab78523100584,INSTRUCTOR_CONTACT,expert_01,,,,,,,
8,case_f9a89acdb8cab78523100584,DIAGNOSTIC_CHECK,expert_01,,,,,,,
9,case_f9a89acdb8cab78523100584,STUDY_SCHEDULE,expert_01,,,,,,,
1,case_e1bcdca1a92f955f1f76a9ca,PROGRESS_MONITORING,expert_01,,,,,,,
2,case_e1bcdca1a92f955f1f76a9ca,STUDY_SCHEDULE,expert_01,,,,,,,
3,case_e1bcdca1a92f955f1f76a9ca,VLE_ENGAGEMENT,expert_01,,,,,,,
4,case_e1bcdca1a92f955f1f76a9ca,INSTRUCTOR_CONTACT,expert_01,,,,,,,
5,case_e1bcdca1a92f955f1f76a9ca,RETRIEVAL_PRACTICE,expert_01,,,,,,,
6,case_e1bcdca1a92f955f1f76a9ca,ASSESSMENT_COMPLETION,expert_01,,,,,,,
7,case_e1bcdca1a92f955f1f76a9ca,ADVISOR_ESCALATION,expert_01,,,,,,,
8,case_e1bcdca1a92f955f1f76a9ca,DIAGNOSTIC_CHECK,expert_01,,,,,,,
9,case_e1bcdca1a92f955f1f76a9ca,LEARNING_CONSOLIDATION,expert_01,,,,,,,
1,case_d8be8b28ad804478bb241352,LEARNING_CONSOLIDATION,expert_01,,,,,,,
2,case_d8be8b28ad804478bb241352,PROGRESS_MONITORING,expert_01,,,,,,,
3,case_d8be8b28ad804478bb241352,ADVISOR_ESCALATION,expert_01,,,,,,,
4,case_d8be8b28ad804478bb241352,INSTRUCTOR_CONTACT,expert_01,,,,,,,
5,case_d8be8b28ad804478bb241352,STUDY_SCHEDULE,expert_01,,,,,,,
6,case_d8be8b28ad804478bb241352,DIAGNOSTIC_CHECK,expert_01,,,,,,,
7,case_d8be8b28ad804478bb241352,RETRIEVAL_PRACTICE,expert_01,,,,,,,
8,case_d8be8b28ad804478bb241352,ASSESSMENT_COMPLETION,expert_01,,,,,,,
9,case_d8be8b28ad804478bb241352,VLE_ENGAGEMENT,expert_01,,,,,,,
1,case_6dbb503540ac6bccb24193f3,LEARNING_CONSOLIDATION,expert_01,,,,,,,
2,case_6dbb503540ac6bccb24193f3,ADVISOR_ESCALATION,expert_01,,,,,,,
3,case_6dbb503540ac6bccb24193f3,PROGRESS_MONITORING,expert_01,,,,,,,
4,case_6dbb503540ac6bccb24193f3,ASSESSMENT_COMPLETION,expert_01,,,,,,,
5,case_6dbb503540ac6bccb24193f3,RETRIEVAL_PRACTICE,expert_01,,,,,,,
6,case_6dbb503540ac6bccb24193f3,DIAGNOSTIC_CHECK,expert_01,,,,,,,
7,case_6dbb503540ac6bccb24193f3,INSTRUCTOR_CONTACT,expert_01,,,,,,,
8,case_6dbb503540ac6bccb24193f3,STUDY_SCHEDULE,expert_01,,,,,,,
9,case_6dbb503540ac6bccb24193f3,VLE_ENGAGEMENT,expert_01,,,,,,,
1,case_1da3cd35f8bb1e8893786d8e,RETRIEVAL_PRACTICE,expert_01,,,,,,,
2,case_1da3cd35f8bb1e8893786d8e,PROGRESS_MONITORING,expert_01,,,,,,,
3,case_1da3cd35f8bb1e8893786d8e,ADVISOR_ESCALATION,expert_01,,,,,,,
4,case_1da3cd35f8bb1e8893786d8e,ASSESSMENT_COMPLETION,expert_01,,,,,,,
5,case_1da3cd35f8bb1e8893786d8e,DIAGNOSTIC_CHECK,expert_01,,,,,,,
6,case_1da3cd35f8bb1e8893786d8e,VLE_ENGAGEMENT,expert_01,,,,,,,
7,case_1da3cd35f8bb1e8893786d8e,INSTRUCTOR_CONTACT,expert_01,,,,,,,
8,case_1da3cd35f8bb1e8893786d8e,STUDY_SCHEDULE,expert_01,,,,,,,
9,case_1da3cd35f8bb1e8893786d8e,LEARNING_CONSOLIDATION,expert_01,,,,,,,
1,case_00538aa58029814d3fb0cc78,ADVISOR_ESCALATION,expert_01,,,,,,,
2,case_00538aa58029814d3fb0cc78,STUDY_SCHEDULE,expert_01,,,,,,,
3,case_00538aa58029814d3fb0cc78,LEARNING_CONSOLIDATION,expert_01,,,,,,,
4,case_00538aa58029814d3fb0cc78,DIAGNOSTIC_CHECK,expert_01,,,,,,,
5,case_00538aa58029814d3fb0cc78,ASSESSMENT_COMPLETION,expert_01,,,,,,,
6,case_00538aa58029814d3fb0cc78,INSTRUCTOR_CONTACT,expert_01,,,,,,,
7,case_00538aa58029814d3fb0cc78,RETRIEVAL_PRACTICE,expert_01,,,,,,,
8,case_00538aa58029814d3fb0cc78,PROGRESS_MONITORING,expert_01,,,,,,,
9,case_00538aa58029814d3fb0cc78,VLE_ENGAGEMENT,expert_01,,,,,,,
1,case_836d2cddb10688d62bf1da5e,ADVISOR_ESCALATION,expert_01,,,,,,,
2,case_836d2cddb10688d62bf1da5e,RETRIEVAL_PRACTICE,expert_01,,,,,,,
3,case_836d2cddb10688d62bf1da5e,PROGRESS_MONITORING,expert_01,,,,,,,
4,case_836d2cddb10688d62bf1da5e,INSTRUCTOR_CONTACT,expert_01,,,,,,,
5,case_836d2cddb10688d62bf1da5e,VLE_ENGAGEMENT,expert_01,,,,,,,
6,case_836d2cddb10688d62bf1da5e,STUDY_SCHEDULE,expert_01,,,,,,,
7,case_836d2cddb10688d62bf1da5e,LEARNING_CONSOLIDATION,expert_01,,,,,,,
8,case_836d2cddb10688d62bf1da5e,DIAGNOSTIC_CHECK,expert_01,,,,,,,
1,case_f36cc880767a86f72e009f14,STUDY_SCHEDULE,expert_01,,,,,,,
2,case_f36cc880767a86f72e009f14,ADVISOR_ESCALATION,expert_01,,,,,,,
3,case_f36cc880767a86f72e009f14,INSTRUCTOR_CONTACT,expert_01,,,,,,,
4,case_f36cc880767a86f72e009f14,DIAGNOSTIC_CHECK,expert_01,,,,,,,
5,case_f36cc880767a86f72e009f14,RETRIEVAL_PRACTICE,expert_01,,,,,,,
6,case_f36cc880767a86f72e009f14,PROGRESS_MONITORING,expert_01,,,,,,,
1,case_f2ac2abd6706d0af026dfb9e,RETRIEVAL_PRACTICE,expert_01,,,,,,,
2,case_f2ac2abd6706d0af026dfb9e,LEARNING_CONSOLIDATION,expert_01,,,,,,,
3,case_f2ac2abd6706d0af026dfb9e,ASSESSMENT_COMPLETION,expert_01,,,,,,,
4,case_f2ac2abd6706d0af026dfb9e,ADVISOR_ESCALATION,expert_01,,,,,,,
5,case_f2ac2abd6706d0af026dfb9e,STUDY_SCHEDULE,expert_01,,,,,,,
6,case_f2ac2abd6706d0af026dfb9e,INSTRUCTOR_CONTACT,expert_01,,,,,,,
7,case_f2ac2abd6706d0af026dfb9e,DIAGNOSTIC_CHECK,expert_01,,,,,,,
8,case_f2ac2abd6706d0af026dfb9e,VLE_ENGAGEMENT,expert_01,,,,,,,
9,case_f2ac2abd6706d0af026dfb9e,PROGRESS_MONITORING,expert_01,,,,,,,
1,case_ca495a6511cc57b68d5c95ee,ASSESSMENT_COMPLETION,expert_01,,,,,,,
2,case_ca495a6511cc57b68d5c95ee,STUDY_SCHEDULE,expert_01,,,,,,,
3,case_ca495a6511cc57b68d5c95ee,LEARNING_CONSOLIDATION,expert_01,,,,,,,
4,case_ca495a6511cc57b68d5c95ee,ADVISOR_ESCALATION,expert_01,,,,,,,
5,case_ca495a6511cc57b68d5c95ee,DIAGNOSTIC_CHECK,expert_01,,,,,,,
6,case_ca495a6511cc57b68d5c95ee,VLE_ENGAGEMENT,expert_01,,,,,,,
7,case_ca495a6511cc57b68d5c95ee,PROGRESS_MONITORING,expert_01,,,,,,,
8,case_ca495a6511cc57b68d5c95ee,RETRIEVAL_PRACTICE,expert_01,,,,,,,
9,case_ca495a6511cc57b68d5c95ee,INSTRUCTOR_CONTACT,expert_01,,,,,,,
1,case_2583fe243a6d9e6593d999a3,ASSESSMENT_COMPLETION,expert_01,,,,,,,
2,case_2583fe243a6d9e6593d999a3,ADVISOR_ESCALATION,expert_01,,,,,,,
3,case_2583fe243a6d9e6593d999a3,LEARNING_CONSOLIDATION,expert_01,,,,,,,
4,case_2583fe243a6d9e6593d999a3,VLE_ENGAGEMENT,expert_01,,,,,,,
5,case_2583fe243a6d9e6593d999a3,STUDY_SCHEDULE,expert_01,,,,,,,
6,case_2583fe243a6d9e6593d999a3,DIAGNOSTIC_CHECK,expert_01,,,,,,,
7,case_2583fe243a6d9e6593d999a3,INSTRUCTOR_CONTACT,expert_01,,,,,,,
8,case_2583fe243a6d9e6593d999a3,PROGRESS_MONITORING,expert_01,,,,,,,
9,case_2583fe243a6d9e6593d999a3,RETRIEVAL_PRACTICE,expert_01,,,,,,,
1,case_c147fe6cf0b88786b373c731,INSTRUCTOR_CONTACT,expert_01,,,,,,,
2,case_c147fe6cf0b88786b373c731,RETRIEVAL_PRACTICE,expert_01,,,,,,,
3,case_c147fe6cf0b88786b373c731,DIAGNOSTIC_CHECK,expert_01,,,,,,,
4,case_c147fe6cf0b88786b373c731,ADVISOR_ESCALATION,expert_01,,,,,,,
5,case_c147fe6cf0b88786b373c731,ASSESSMENT_COMPLETION,expert_01,,,,,,,
6,case_c147fe6cf0b88786b373c731,LEARNING_CONSOLIDATION,expert_01,,,,,,,
7,case_c147fe6cf0b88786b373c731,VLE_ENGAGEMENT,expert_01,,,,,,,
8,case_c147fe6cf0b88786b373c731,PROGRESS_MONITORING,expert_01,,,,,,,
9,case_c147fe6cf0b88786b373c731,STUDY_SCHEDULE,expert_01,,,,,,,
1,case_97e3cb34883fdd11e31dc238,RETRIEVAL_PRACTICE,expert_01,,,,,,,
2,case_97e3cb34883fdd11e31dc238,LEARNING_CONSOLIDATION,expert_01,,,,,,,
3,case_97e3cb34883fdd11e31dc238,ASSESSMENT_COMPLETION,expert_01,,,,,,,
4,case_97e3cb34883fdd11e31dc238,ADVISOR_ESCALATION,expert_01,,,,,,,
5,case_97e3cb34883fdd11e31dc238,DIAGNOSTIC_CHECK,expert_01,,,,,,,
6,case_97e3cb34883fdd11e31dc238,VLE_ENGAGEMENT,expert_01,,,,,,,
7,case_97e3cb34883fdd11e31dc238,INSTRUCTOR_CONTACT,expert_01,,,,,,,
8,case_97e3cb34883fdd11e31dc238,STUDY_SCHEDULE,expert_01,,,,,,,
9,case_97e3cb34883fdd11e31dc238,PROGRESS_MONITORING,expert_01,,,,,,,
1,case_15ea76ffa25f2ce690ddd678,RETRIEVAL_PRACTICE,expert_01,,,,,,,
2,case_15ea76ffa25f2ce690ddd678,VLE_ENGAGEMENT,expert_01,,,,,,,
3,case_15ea76ffa25f2ce690ddd678,ADVISOR_ESCALATION,expert_01,,,,,,,
4,case_15ea76ffa25f2ce690ddd678,STUDY_SCHEDULE,expert_01,,,,,,,
5,case_15ea76ffa25f2ce690ddd678,LEARNING_CONSOLIDATION,expert_01,,,,,,,
6,case_15ea76ffa25f2ce690ddd678,DIAGNOSTIC_CHECK,expert_01,,,,,,,
7,case_15ea76ffa25f2ce690ddd678,INSTRUCTOR_CONTACT,expert_01,,,,,,,
8,case_15ea76ffa25f2ce690ddd678,PROGRESS_MONITORING,expert_01,,,,,,,
9,case_15ea76ffa25f2ce690ddd678,ASSESSMENT_COMPLETION,expert_01,,,,,,,
1,case_cfbc1bca3e1775a48d9d21a3,PROGRESS_MONITORING,expert_01,,,,,,,
2,case_cfbc1bca3e1775a48d9d21a3,VLE_ENGAGEMENT,expert_01,,,,,,,
3,case_cfbc1bca3e1775a48d9d21a3,ADVISOR_ESCALATION,expert_01,,,,,,,
4,case_cfbc1bca3e1775a48d9d21a3,ASSESSMENT_COMPLETION,expert_01,,,,,,,
5,case_cfbc1bca3e1775a48d9d21a3,STUDY_SCHEDULE,expert_01,,,,,,,
6,case_cfbc1bca3e1775a48d9d21a3,LEARNING_CONSOLIDATION,expert_01,,,,,,,
7,case_cfbc1bca3e1775a48d9d21a3,DIAGNOSTIC_CHECK,expert_01,,,,,,,
8,case_cfbc1bca3e1775a48d9d21a3,INSTRUCTOR_CONTACT,expert_01,,,,,,,
9,case_cfbc1bca3e1775a48d9d21a3,RETRIEVAL_PRACTICE,expert_01,,,,,,,
1,case_1b47c2a1f533e7e3d64a07f3,DIAGNOSTIC_CHECK,expert_01,,,,,,,
2,case_1b47c2a1f533e7e3d64a07f3,LEARNING_CONSOLIDATION,expert_01,,,,,,,
3,case_1b47c2a1f533e7e3d64a07f3,ASSESSMENT_COMPLETION,expert_01,,,,,,,
4,case_1b47c2a1f533e7e3d64a07f3,RETRIEVAL_PRACTICE,expert_01,,,,,,,
5,case_1b47c2a1f533e7e3d64a07f3,ADVISOR_ESCALATION,expert_01,,,,,,,
6,case_1b47c2a1f533e7e3d64a07f3,PROGRESS_MONITORING,expert_01,,,,,,,
7,case_1b47c2a1f533e7e3d64a07f3,STUDY_SCHEDULE,expert_01,,,,,,,
8,case_1b47c2a1f533e7e3d64a07f3,VLE_ENGAGEMENT,expert_01,,,,,,,
9,case_1b47c2a1f533e7e3d64a07f3,INSTRUCTOR_CONTACT,expert_01,,,,,,,
1,case_d3bfd5d33e7415aff602911f,RETRIEVAL_PRACTICE,expert_01,,,,,,,
2,case_d3bfd5d33e7415aff602911f,LEARNING_CONSOLIDATION,expert_01,,,,,,,
3,case_d3bfd5d33e7415aff602911f,VLE_ENGAGEMENT,expert_01,,,,,,,
4,case_d3bfd5d33e7415aff602911f,ADVISOR_ESCALATION,expert_01,,,,,,,
5,case_d3bfd5d33e7415aff602911f,PROGRESS_MONITORING,expert_01,,,,,,,
6,case_d3bfd5d33e7415aff602911f,DIAGNOSTIC_CHECK,expert_01,,,,,,,
7,case_d3bfd5d33e7415aff602911f,STUDY_SCHEDULE,expert_01,,,,,,,
8,case_d3bfd5d33e7415aff602911f,INSTRUCTOR_CONTACT,expert_01,,,,,,,
9,case_d3bfd5d33e7415aff602911f,ASSESSMENT_COMPLETION,expert_01,,,,,,,
1,case_88c2771e4fcabb6c96028749,ASSESSMENT_COMPLETION,expert_01,,,,,,,
2,case_88c2771e4fcabb6c96028749,VLE_ENGAGEMENT,expert_01,,,,,,,
3,case_88c2771e4fcabb6c96028749,STUDY_SCHEDULE,expert_01,,,,,,,
4,case_88c2771e4fcabb6c96028749,PROGRESS_MONITORING,expert_01,,,,,,,
5,case_88c2771e4fcabb6c96028749,RETRIEVAL_PRACTICE,expert_01,,,,,,,
6,case_88c2771e4fcabb6c96028749,LEARNING_CONSOLIDATION,expert_01,,,,,,,
7,case_88c2771e4fcabb6c96028749,INSTRUCTOR_CONTACT,expert_01,,,,,,,
8,case_88c2771e4fcabb6c96028749,DIAGNOSTIC_CHECK,expert_01,,,,,,,
9,case_88c2771e4fcabb6c96028749,ADVISOR_ESCALATION,expert_01,,,,,,,
1,case_636e8691d58175b2b30a02a2,RETRIEVAL_PRACTICE,expert_01,,,,,,,
2,case_636e8691d58175b2b30a02a2,PROGRESS_MONITORING,expert_01,,,,,,,
3,case_636e8691d58175b2b30a02a2,STUDY_SCHEDULE,expert_01,,,,,,,
4,case_636e8691d58175b2b30a02a2,DIAGNOSTIC_CHECK,expert_01,,,,,,,
5,case_636e8691d58175b2b30a02a2,ASSESSMENT_COMPLETION,expert_01,,,,,,,
6,case_636e8691d58175b2b30a02a2,VLE_ENGAGEMENT,expert_01,,,,,,,
7,case_636e8691d58175b2b30a02a2,INSTRUCTOR_CONTACT,expert_01,,,,,,,
8,case_636e8691d58175b2b30a02a2,ADVISOR_ESCALATION,expert_01,,,,,,,
9,case_636e8691d58175b2b30a02a2,LEARNING_CONSOLIDATION,expert_01,,,,,,,
1,case_e020b6c5df0c0405647dc44a,INSTRUCTOR_CONTACT,expert_01,,,,,,,
2,case_e020b6c5df0c0405647dc44a,ASSESSMENT_COMPLETION,expert_01,,,,,,,
3,case_e020b6c5df0c0405647dc44a,DIAGNOSTIC_CHECK,expert_01,,,,,,,
4,case_e020b6c5df0c0405647dc44a,RETRIEVAL_PRACTICE,expert_01,,,,,,,
5,case_e020b6c5df0c0405647dc44a,STUDY_SCHEDULE,expert_01,,,,,,,
6,case_e020b6c5df0c0405647dc44a,LEARNING_CONSOLIDATION,expert_01,,,,,,,
7,case_e020b6c5df0c0405647dc44a,PROGRESS_MONITORING,expert_01,,,,,,,
8,case_e020b6c5df0c0405647dc44a,VLE_ENGAGEMENT,expert_01,,,,,,,
9,case_e020b6c5df0c0405647dc44a,ADVISOR_ESCALATION,expert_01,,,,,,,
1,case_4bf09364f542147d77de2f62,INSTRUCTOR_CONTACT,expert_01,,,,,,,
2,case_4bf09364f542147d77de2f62,VLE_ENGAGEMENT,expert_01,,,,,,,
3,case_4bf09364f542147d77de2f62,ASSESSMENT_COMPLETION,expert_01,,,,,,,
4,case_4bf09364f542147d77de2f62,ADVISOR_ESCALATION,expert_01,,,,,,,
5,case_4bf09364f542147d77de2f62,RETRIEVAL_PRACTICE,expert_01,,,,,,,
6,case_4bf09364f542147d77de2f62,LEARNING_CONSOLIDATION,expert_01,,,,,,,
7,case_4bf09364f542147d77de2f62,PROGRESS_MONITORING,expert_01,,,,,,,
8,case_4bf09364f542147d77de2f62,STUDY_SCHEDULE,expert_01,,,,,,,
9,case_4bf09364f542147d77de2f62,DIAGNOSTIC_CHECK,expert_01,,,,,,,
1,case_946848be0fdecd2d1a4e5143,LEARNING_CONSOLIDATION,expert_01,,,,,,,
2,case_946848be0fdecd2d1a4e5143,INSTRUCTOR_CONTACT,expert_01,,,,,,,
3,case_946848be0fdecd2d1a4e5143,STUDY_SCHEDULE,expert_01,,,,,,,
4,case_946848be0fdecd2d1a4e5143,VLE_ENGAGEMENT,expert_01,,,,,,,
5,case_946848be0fdecd2d1a4e5143,DIAGNOSTIC_CHECK,expert_01,,,,,,,
6,case_946848be0fdecd2d1a4e5143,ADVISOR_ESCALATION,expert_01,,,,,,,
7,case_946848be0fdecd2d1a4e5143,ASSESSMENT_COMPLETION,expert_01,,,,,,,
8,case_946848be0fdecd2d1a4e5143,PROGRESS_MONITORING,expert_01,,,,,,,
9,case_946848be0fdecd2d1a4e5143,RETRIEVAL_PRACTICE,expert_01,,,,,,,
1,case_a8a9bebb9db0229c053b567e,RETRIEVAL_PRACTICE,expert_01,,,,,,,
2,case_a8a9bebb9db0229c053b567e,INSTRUCTOR_CONTACT,expert_01,,,,,,,
3,case_a8a9bebb9db0229c053b567e,ASSESSMENT_COMPLETION,expert_01,,,,,,,
4,case_a8a9bebb9db0229c053b567e,ADVISOR_ESCALATION,expert_01,,,,,,,
5,case_a8a9bebb9db0229c053b567e,DIAGNOSTIC_CHECK,expert_01,,,,,,,
6,case_a8a9bebb9db0229c053b567e,STUDY_SCHEDULE,expert_01,,,,,,,
7,case_a8a9bebb9db0229c053b567e,LEARNING_CONSOLIDATION,expert_01,,,,,,,
8,case_a8a9bebb9db0229c053b567e,VLE_ENGAGEMENT,expert_01,,,,,,,
9,case_a8a9bebb9db0229c053b567e,PROGRESS_MONITORING,expert_01,,,,,,,
1,case_1951c1f0fc1a7075848b02da,LEARNING_CONSOLIDATION,expert_01,,,,,,,
2,case_1951c1f0fc1a7075848b02da,DIAGNOSTIC_CHECK,expert_01,,,,,,,
3,case_1951c1f0fc1a7075848b02da,ADVISOR_ESCALATION,expert_01,,,,,,,
4,case_1951c1f0fc1a7075848b02da,PROGRESS_MONITORING,expert_01,,,,,,,
5,case_1951c1f0fc1a7075848b02da,ASSESSMENT_COMPLETION,expert_01,,,,,,,
