feature_group,H0_feature,H1_feature,classification,H0_semantics,H1_semantics,endpoint_legality,evidence_source
temporal,delta_total_clicks,delta_total_clicks,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,delta_active_days,delta_active_days,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,delta_unique_sites,delta_unique_sites,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,delta_content_clicks,delta_content_clicks,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,delta_forum_clicks,delta_forum_clicks,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,delta_quiz_clicks,delta_quiz_clicks,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,delta_assessment_related_clicks,delta_assessment_related_clicks,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,delta_submitted_assessment_count,delta_submitted_assessment_count,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,delta_cumulative_mean_score,delta_cumulative_mean_score,SHARED_NAME_DIFFERENT_AVAILABILITY,"populated from scores available by max(submission,due-date)",score values excluded; missing-mask fixed unavailable,historical conservative proxy; exact release timestamp absent,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,delta_cumulative_weighted_score,delta_cumulative_weighted_score,SHARED_NAME_DIFFERENT_AVAILABILITY,"populated from scores available by max(submission,due-date)",score values excluded; missing-mask fixed unavailable,historical conservative proxy; exact release timestamp absent,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,rolling_2_week_mean_total_clicks,rolling_2_week_mean_total_clicks,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,rolling_2_week_mean_active_days,rolling_2_week_mean_active_days,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,rolling_2_week_mean_assessment_clicks,rolling_2_week_mean_assessment_clicks,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,rolling_2_week_submission_count,rolling_2_week_submission_count,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,rolling_2_week_score_change,rolling_2_week_score_change,SHARED_NAME_DIFFERENT_AVAILABILITY,"populated from scores available by max(submission,due-date)",score values excluded; missing-mask fixed unavailable,historical conservative proxy; exact release timestamp absent,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,current_inactivity_streak,current_inactivity_streak,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,activity_resumed_indicator,activity_resumed_indicator,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,new_inactivity_indicator,new_inactivity_indicator,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,content_share,content_share,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,forum_share,forum_share,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,quiz_share,quiz_share,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,assessment_share,assessment_share,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,score_delta,score_delta,SHARED_NAME_DIFFERENT_AVAILABILITY,"populated from scores available by max(submission,due-date)",score values excluded; missing-mask fixed unavailable,historical conservative proxy; exact release timestamp absent,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,weighted_score_delta,weighted_score_delta,SHARED_NAME_DIFFERENT_AVAILABILITY,"populated from scores available by max(submission,due-date)",score values excluded; missing-mask fixed unavailable,historical conservative proxy; exact release timestamp absent,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,late_submission_rate_to_date,late_submission_rate_to_date,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,submission_rate_last_2_weeks,submission_rate_last_2_weeks,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
aggregate,total_clicks__sum,total_clicks__total,RENAMED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,total_clicks__mean,total_clicks__mean,SHARED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,total_clicks__last,total_clicks__last,SHARED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,total_clicks__slope,total_clicks__slope,SHARED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,total_clicks__recent_2_week_mean,total_clicks__recent_2_week_mean,SHARED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,active_days__sum,active_days__total,RENAMED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,active_days__mean,active_days__mean,SHARED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,active_days__last,active_days__last,SHARED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,active_days__slope,active_days__slope,SHARED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,active_days__recent_2_week_mean,active_days__recent_2_week_mean,SHARED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,unique_sites__mean,unique_sites__mean,SHARED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,unique_sites__last,unique_sites__last,SHARED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,unique_sites__recent_2_week_mean,unique_sites__recent_2_week_mean,SHARED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,unique_activity_types__mean,unique_activity_types__mean,SHARED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,unique_activity_types__last,unique_activity_types__last,SHARED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,unique_activity_types__recent_2_week_mean,unique_activity_types__recent_2_week_mean,SHARED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,content_clicks__sum,content_clicks__total,RENAMED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,content_clicks__slope,content_clicks__slope,SHARED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,content_clicks__recent_2_week_mean,content_clicks__recent_2_week_mean,SHARED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,forum_clicks__sum,forum_clicks__total,RENAMED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,forum_clicks__slope,forum_clicks__slope,SHARED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,forum_clicks__recent_2_week_mean,forum_clicks__recent_2_week_mean,SHARED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,quiz_clicks__sum,quiz_clicks__total,RENAMED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,quiz_clicks__slope,quiz_clicks__slope,SHARED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,quiz_clicks__recent_2_week_mean,quiz_clicks__recent_2_week_mean,SHARED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,assessment_related_clicks__sum,assessment_related_clicks__total,RENAMED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,assessment_related_clicks__slope,assessment_related_clicks__slope,SHARED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,assessment_related_clicks__recent_2_week_mean,assessment_related_clicks__recent_2_week_mean,SHARED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,submitted_assessment_count__sum,submitted_assessment_count__total,RENAMED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,submitted_assessment_count__last,submitted_assessment_count__last,SHARED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,late_submission_count__sum,late_submission_count__total,RENAMED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,late_submission_count__last,late_submission_count__last,SHARED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,available_score_count__sum,available_score_count__total,RENAMED_EQUIVALENT_DIFFERENT_AVAILABILITY,summary of populated score-progress channel,summary exists but carries no observed score value,historical conservative proxy; exact release timestamp absent,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,available_score_count__last,available_score_count__last,RENAMED_EQUIVALENT_DIFFERENT_AVAILABILITY,summary of populated score-progress channel,summary exists but carries no observed score value,historical conservative proxy; exact release timestamp absent,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,cumulative_mean_score__last,cumulative_mean_score__last,RENAMED_EQUIVALENT_DIFFERENT_AVAILABILITY,summary of populated score-progress channel,summary exists but carries no observed score value,historical conservative proxy; exact release timestamp absent,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,cumulative_mean_score__slope,cumulative_mean_score__slope,RENAMED_EQUIVALENT_DIFFERENT_AVAILABILITY,summary of populated score-progress channel,summary exists but carries no observed score value,historical conservative proxy; exact release timestamp absent,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,cumulative_mean_score__recent_2_week_mean,cumulative_mean_score__recent_2_week_mean,RENAMED_EQUIVALENT_DIFFERENT_AVAILABILITY,summary of populated score-progress channel,summary exists but carries no observed score value,historical conservative proxy; exact release timestamp absent,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,cumulative_weighted_score__last,cumulative_weighted_score__last,RENAMED_EQUIVALENT_DIFFERENT_AVAILABILITY,summary of populated score-progress channel,summary exists but carries no observed score value,historical conservative proxy; exact release timestamp absent,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,cumulative_weighted_score__slope,cumulative_weighted_score__slope,RENAMED_EQUIVALENT_DIFFERENT_AVAILABILITY,summary of populated score-progress channel,summary exists but carries no observed score value,historical conservative proxy; exact release timestamp absent,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,cumulative_weighted_score__recent_2_week_mean,cumulative_weighted_score__recent_2_week_mean,RENAMED_EQUIVALENT_DIFFERENT_AVAILABILITY,summary of populated score-progress channel,summary exists but carries no observed score value,historical conservative proxy; exact release timestamp absent,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,days_since_last_vle_activity__last,days_since_last_vle_activity__last,SHARED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,days_since_last_vle_activity__slope,days_since_last_vle_activity__slope,SHARED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,days_since_last_vle_activity__recent_2_week_mean,days_since_last_vle_activity__recent_2_week_mean,SHARED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,weeks_without_activity__sum,weeks_without_activity__total,RENAMED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,weeks_without_activity__last,weeks_without_activity__last,SHARED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,weeks_without_activity__recent_2_week_mean,weeks_without_activity__recent_2_week_mean,SHARED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,score_missing_mask__sum,score_missing_mask__total,RENAMED_EQUIVALENT_DIFFERENT_AVAILABILITY,summary of populated score-progress channel,summary exists but carries no observed score value,historical conservative proxy; exact release timestamp absent,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,score_missing_mask__last,score_missing_mask__last,RENAMED_EQUIVALENT_DIFFERENT_AVAILABILITY,summary of populated score-progress channel,summary exists but carries no observed score value,historical conservative proxy; exact release timestamp absent,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,inactive_week_count,inactive_week_count,SHARED_EQUIVALENT,compact summary of legal temporal channel,full summary of legal temporal channel,legal,git:308370:src/studies/v5_1/oulad/data.py;src/pipelines/oulad.py
aggregate,,active_days__first_half_mean,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,active_days__max,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,active_days__min,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,active_days__second_half_mean,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,active_days__std,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,assessment_available_fraction,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,assessment_related_clicks__first_half_mean,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,assessment_related_clicks__last,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,assessment_related_clicks__max,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,assessment_related_clicks__mean,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,assessment_related_clicks__min,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,assessment_related_clicks__second_half_mean,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,assessment_related_clicks__std,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,available_score_count__first_half_mean,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,available_score_count__max,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,available_score_count__mean,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,available_score_count__min,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,available_score_count__recent_2_week_mean,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,available_score_count__second_half_mean,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,available_score_count__slope,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,available_score_count__std,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,content_clicks__first_half_mean,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,content_clicks__last,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,content_clicks__max,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,content_clicks__mean,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,content_clicks__min,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,content_clicks__second_half_mean,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,content_clicks__std,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,cumulative_mean_score__first_half_mean,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,cumulative_mean_score__max,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,cumulative_mean_score__mean,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,cumulative_mean_score__min,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,cumulative_mean_score__second_half_mean,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,cumulative_mean_score__std,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,cumulative_mean_score__total,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,cumulative_weighted_score__first_half_mean,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,cumulative_weighted_score__max,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,cumulative_weighted_score__mean,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,cumulative_weighted_score__min,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,cumulative_weighted_score__second_half_mean,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,cumulative_weighted_score__std,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,cumulative_weighted_score__total,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,days_since_last_vle_activity__first_half_mean,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,days_since_last_vle_activity__max,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,days_since_last_vle_activity__mean,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
aggregate,,days_since_last_vle_activity__min,H1_ONLY,not in compact 49-feature branch,additional full summary or endpoint context,legal; derived before cutoff,src/pipelines/oulad.py:_aggregate
