sample_idx,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,True_Label,Pred_Label,Prob_Class_0,Prob_Class_1,Prob_Class_2,sample_idx_x,sample_idx_y,original_class,original_conf,desired_classes,new_class,new_conf,changed_features,num_changes,Recommendation
39,GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,2,1,2,5,0,11,13,1,1,1,0.0026490432,0.7130586,0.28429237,39,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
40,MS,F,17,U,GT3,T,2,2,other,at_home,course,mother,1,1,0,no,yes,no,yes,yes,no,no,no,4,5,3,1,1,5,4,9,9,1,1,1,0.4215986,0.5747713,0.003630089,40,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
41,MS,F,17,U,GT3,T,4,2,teacher,services,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,5,5,1,3,5,0,8,8,0,0,0,0.49856272,0.4970499,0.0043873712,41,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
42,MS,F,17,R,GT3,T,4,1,other,other,other,mother,1,1,0,no,no,no,no,yes,yes,yes,yes,4,2,3,1,2,5,1,13,14,1,1,2,0.0015825756,0.3986917,0.5997257,42,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
43,GP,M,17,R,GT3,T,3,2,other,other,course,mother,2,2,2,yes,yes,no,no,yes,yes,yes,yes,4,4,4,1,4,3,4,7,6,0,0,0,0.86016196,0.1385134,0.0013245848,43,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
44,GP,F,17,U,GT3,T,4,4,teacher,teacher,course,mother,2,3,0,no,yes,no,no,no,yes,yes,yes,4,3,3,1,2,4,4,15,14,2,2,1,0.0013253519,0.50679,0.49188462,44,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
45,MS,F,18,R,GT3,T,1,1,other,other,home,mother,4,3,0,no,no,no,no,yes,yes,yes,no,4,3,2,1,2,4,4,10,11,1,1,1,0.122198895,0.86796045,0.009840721,45,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
46,MS,F,16,U,GT3,T,4,4,health,health,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,3,4,1,2,3,4,8,8,0,0,0,0.53534436,0.4601261,0.0045295064,46,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
47,MS,F,17,U,GT3,T,3,3,services,services,course,mother,2,1,0,no,yes,no,no,yes,yes,yes,no,4,4,3,1,1,4,0,11,12,1,1,1,0.010432338,0.91378033,0.07578732,47,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
48,MS,F,17,U,GT3,T,4,4,health,health,course,father,1,2,0,no,yes,no,no,yes,yes,yes,no,5,2,5,1,1,5,0,13,15,2,2,2,0.0010071645,0.35407194,0.6449209,48,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
49,GP,F,17,R,GT3,T,4,3,teacher,other,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,2,1,1,4,0,11,12,1,1,1,0.0073561273,0.898465,0.09417886,49,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
50,GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,14,12,11,1,1,1,0.016456839,0.92255604,0.060987145,50,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
51,MS,F,17,U,LE3,A,3,2,services,other,reputation,mother,2,2,0,no,no,no,no,yes,yes,no,yes,1,2,3,1,2,5,0,15,14,2,2,2,0.0028247964,0.48678595,0.5103892,51,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
52,GP,F,19,R,GT3,T,3,2,services,services,reputation,father,1,2,1,yes,yes,no,no,yes,no,yes,no,3,3,3,4,3,3,0,9,8,1,1,1,0.43254548,0.5455008,0.021953782,52,52.0,0.0,0.5088227987289429,"[1, 2]",1.0,0.4898582994937897,{'Dalc': 0},1.0,"Sinh viên đang được dự đoán thuộc nhóm Low với độ tin cậy 51%. Mô hình tìm thấy phương án cải thiện: điều chỉnh các yếu tố {'Dalc': 0}. Sau thay đổi này, dự đoán sẽ chuyển sang Medium với xác suất 49%. Khuyến nghị: sinh viên nên thực hiện các thay đổi trên và liên hệ cố vấn học tập để theo dõi tiến độ."
53,GP,F,20,R,GT3,T,2,1,other,other,course,other,2,2,0,no,yes,yes,yes,yes,no,yes,yes,1,2,3,1,2,2,8,10,12,1,1,1,0.027271982,0.91237736,0.060350627,53,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
54,MS,F,18,R,GT3,T,4,4,other,teacher,other,father,3,2,0,no,yes,no,no,no,yes,yes,yes,3,2,2,4,2,5,0,7,5,0,0,0,0.7694056,0.22715023,0.0034441731,54,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
55,GP,F,19,U,GT3,T,2,2,services,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,1,5,0,10,10,1,1,1,0.1075091,0.879317,0.013173915,55,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
56,GP,F,17,U,LE3,T,3,2,other,other,reputation,mother,2,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,3,1,2,14,16,2,2,2,0.00050318695,0.116119966,0.8833769,56,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
57,MS,M,17,U,GT3,T,3,3,health,other,course,mother,2,2,1,no,yes,no,no,yes,yes,yes,no,4,5,4,2,3,3,4,8,9,1,1,0,0.65183866,0.3463508,0.0018105289,57,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
58,MS,F,18,R,GT3,T,2,2,at_home,other,course,mother,3,2,1,no,no,no,yes,yes,yes,no,yes,4,3,3,1,1,4,0,9,0,0,0,0,0.898843,0.10033567,0.00082129595,58,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
59,GP,M,16,U,GT3,T,3,2,at_home,other,reputation,mother,2,3,0,no,no,no,yes,yes,yes,yes,yes,5,3,3,1,3,2,0,12,12,1,1,1,0.007932645,0.89466876,0.0973986,59,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
60,GP,M,18,U,GT3,T,2,1,other,other,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,2,4,1,2,4,2,16,16,2,2,2,0.00085216074,0.12267937,0.87646854,60,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
61,GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,0,9,9,1,1,1,0.37251195,0.6227023,0.004785712,61,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
62,MS,F,16,R,LE3,T,2,2,other,services,course,father,1,2,0,no,no,no,yes,yes,yes,no,yes,5,4,3,1,1,1,0,11,13,1,1,1,0.0064202948,0.87802327,0.11555646,62,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
63,MS,F,16,R,GT3,T,4,4,teacher,teacher,course,mother,2,3,0,no,no,no,yes,yes,yes,yes,yes,4,2,2,1,1,4,6,16,16,2,2,2,0.0010345795,0.2251236,0.77384174,63,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
64,GP,F,15,U,GT3,T,1,2,at_home,services,course,mother,1,2,0,no,no,no,no,no,yes,yes,no,3,2,3,1,2,1,0,14,14,1,1,2,0.0011039547,0.3210399,0.67785615,64,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
65,GP,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,3,0,yes,yes,no,no,yes,yes,yes,no,5,3,5,1,1,3,2,12,13,1,1,1,0.0016401941,0.6201154,0.37824443,65,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
66,MS,M,17,U,GT3,T,1,2,other,other,course,father,1,1,1,no,yes,no,yes,yes,no,yes,yes,5,3,5,5,5,1,12,6,7,0,0,0,0.8136756,0.18388295,0.0024414654,66,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
67,GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,0,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,13,12,1,1,1,0.0057818205,0.8722889,0.12192925,67,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
68,GP,F,17,U,GT3,T,4,4,teacher,services,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,3,4,0,13,12,1,1,1,0.0026170432,0.7607825,0.23660055,68,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
69,GP,F,16,R,GT3,T,1,1,other,services,reputation,mother,2,1,0,no,yes,no,yes,yes,yes,no,yes,3,3,3,1,2,1,8,12,11,1,1,1,0.013088266,0.94166785,0.04524394,69,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
70,GP,F,19,U,GT3,T,3,3,other,services,home,other,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,5,3,3,5,16,11,12,1,1,1,0.01953196,0.939688,0.04078002,70,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
71,GP,F,16,U,GT3,T,2,3,other,other,reputation,mother,1,2,0,yes,yes,no,yes,yes,yes,no,no,4,4,3,1,3,4,4,11,12,1,1,1,0.01793527,0.93209964,0.049965166,71,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
72,GP,M,17,R,LE3,T,1,2,other,other,reputation,mother,1,1,3,no,no,no,no,yes,yes,no,no,2,2,2,3,3,5,14,9,8,1,1,1,0.46438894,0.53230315,0.003307908,72,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
73,GP,F,18,U,GT3,T,2,2,at_home,at_home,other,mother,1,3,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,2,2,0,18,18,2,2,2,0.00028402734,0.0650268,0.93468916,73,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
74,GP,F,17,U,GT3,T,2,2,other,other,course,mother,1,2,0,no,yes,no,no,no,yes,yes,no,5,4,5,1,2,5,12,12,12,1,1,1,0.002788224,0.62033725,0.37687454,74,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
75,MS,F,16,R,GT3,T,1,2,other,other,home,father,1,3,0,yes,yes,no,no,no,yes,yes,yes,4,3,4,1,1,3,5,13,14,1,1,2,0.0016687209,0.48268184,0.51564944,75,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
76,MS,F,17,R,GT3,T,1,1,at_home,other,reputation,mother,2,1,0,no,yes,no,yes,no,yes,yes,yes,4,4,5,1,2,5,0,11,11,1,1,1,0.031790085,0.94654906,0.021660851,76,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
77,MS,M,18,U,LE3,T,1,1,at_home,at_home,course,mother,2,2,0,no,yes,no,yes,yes,yes,no,no,4,3,3,1,4,5,6,10,9,1,1,1,0.19133751,0.79970545,0.008956968,77,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
78,GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,2,13,14,1,1,1,0.0030222847,0.63498926,0.36198843,78,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
79,GP,F,17,U,GT3,T,4,4,teacher,services,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,5,3,1,1,4,5,2,11,11,1,1,1,0.02898022,0.9325272,0.03849258,79,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
80,GP,M,16,R,GT3,T,2,2,at_home,other,course,mother,3,1,0,no,no,no,no,no,yes,no,no,4,2,2,1,2,3,4,12,10,1,1,1,0.07051697,0.91548336,0.013999639,80,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
81,MS,F,16,R,GT3,T,2,3,at_home,services,course,mother,2,2,0,no,no,no,no,yes,yes,no,no,4,5,2,1,2,5,0,16,17,2,2,2,0.0005521,0.071685314,0.9277625,81,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
82,MS,F,16,U,GT3,T,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,no,yes,5,4,3,2,1,2,0,13,14,2,2,2,0.0015605921,0.4920743,0.5063651,82,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
83,MS,M,17,R,GT3,T,1,1,other,services,course,mother,2,1,0,no,yes,no,yes,no,yes,yes,yes,4,5,5,1,3,2,0,10,9,1,1,1,0.2826968,0.7115546,0.005748629,83,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
84,MS,M,17,R,GT3,T,4,3,services,other,home,mother,2,2,1,no,yes,yes,yes,no,yes,yes,yes,4,5,5,1,3,2,4,10,11,1,1,1,0.14642017,0.8463687,0.007211133,84,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
85,MS,M,18,R,GT3,T,3,2,services,other,course,mother,1,1,1,no,no,no,no,yes,no,yes,no,2,3,1,2,2,5,0,4,0,0,0,0,0.90792084,0.09141808,0.0006611166,85,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
86,GP,F,15,U,GT3,T,1,2,at_home,other,course,mother,1,2,0,no,yes,no,no,no,yes,yes,no,4,3,2,1,1,5,6,13,12,1,1,1,0.0037890295,0.81936944,0.17684153,86,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
87,GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,0,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,16,11,11,1,1,1,0.027696248,0.93188745,0.040416308,87,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
