original_class,original_conf,sample_idx,desired_classes,new_class,new_conf,changed_features,num_changes,Recommendation
2,0.83429796,51,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
0,0.6990816,52,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.79366356,53,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
0,0.8532038,54,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.81052107,55,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
2,0.87521255,56,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
0,0.8192867,57,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
0,0.9043073,58,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.6822664,59,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
2,0.9296,60,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
0,0.66590977,61,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.8244361,62,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
2,0.93787897,63,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
2,0.73576987,64,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.79686856,65,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
0,0.8971684,66,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.74014693,67,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.6822172,68,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.8902302,69,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.8488177,70,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.88161397,71,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
0,0.83254564,72,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
2,0.930571,73,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.8356742,74,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
2,0.6631295,75,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.8458336,76,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.5856095,77,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.7083089,78,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.8877845,79,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.9007551,80,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
2,0.9353959,81,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.58741677,82,[2],2.0,0.5051392316818237,{'internet': 1},1.0,"Sinh viên đang được dự đoán thuộc nhóm Medium với độ tin cậy 59%. Mô hình tìm thấy phương án cải thiện: điều chỉnh các yếu tố {'internet': 1}. Sau thay đổi này, dự đoán sẽ chuyển sang High với xác suất 51%. Khuyến nghị: sinh viên nên thực hiện các thay đổi trên và liên hệ cố vấn học tập để theo dõi tiến độ."
0,0.6929572,83,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.76952463,84,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
0,0.9165747,85,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.63886404,86,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.88781023,87,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
0,0.88685685,88,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.5057844,89,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.7888536,90,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.90022725,91,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
2,0.72163445,92,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.64871424,93,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
2,0.880849,94,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
0,0.49734956,95,"[1, 2]",1.0,0.5030443072319031,{'Walc': 0},1.0,"Sinh viên đang được dự đoán thuộc nhóm Low với độ tin cậy 50%. Mô hình tìm thấy phương án cải thiện: điều chỉnh các yếu tố {'Walc': 0}. Sau thay đổi này, dự đoán sẽ chuyển sang Medium với xác suất 50%. Khuyến nghị: sinh viên nên thực hiện các thay đổi trên và liên hệ cố vấn học tập để theo dõi tiến độ."
1,0.7132752,96,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.87672853,97,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
2,0.8365937,98,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.86428505,99,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.6334158,100,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.74034435,101,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.7945419,102,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.8698647,103,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.8766463,104,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
2,0.8466034,105,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.50687766,106,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
2,0.924942,107,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.7843986,108,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
2,0.9395752,109,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.52271575,110,[2],2.0,0.5018725991249084,{'studytime': 0.75},1.0,"Sinh viên đang được dự đoán thuộc nhóm Medium với độ tin cậy 52%. Mô hình tìm thấy phương án cải thiện: điều chỉnh các yếu tố {'studytime': 0.75}. Sau thay đổi này, dự đoán sẽ chuyển sang High với xác suất 50%. Khuyến nghị: sinh viên nên thực hiện các thay đổi trên và liên hệ cố vấn học tập để theo dõi tiến độ."
2,0.89087886,111,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.8900157,112,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.79557544,113,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.85513157,114,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
0,0.68090683,115,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
2,0.87617606,116,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.6974653,117,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.5364871,118,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.63256884,119,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.5530574,120,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
0,0.6302341,121,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
0,0.54812324,122,"[1, 2]",1.0,0.510776698589325,{'studytime': 0.75},1.0,"Sinh viên đang được dự đoán thuộc nhóm Low với độ tin cậy 55%. Mô hình tìm thấy phương án cải thiện: điều chỉnh các yếu tố {'studytime': 0.75}. Sau thay đổi này, dự đoán sẽ chuyển sang Medium với xác suất 51%. Khuyến nghị: sinh viên nên thực hiện các thay đổi trên và liên hệ cố vấn học tập để theo dõi tiến độ."
0,0.8829152,123,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.5433155,124,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
0,0.6591109,125,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.5471246,126,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.8892294,127,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
2,0.8406952,128,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.88244706,129,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
