case_id,predicted_class_name,agreement,uncertainty_band,trajectory,evidence_availability,stratum,review_packet,recommendation_instance_id
834d939a450911619c101e4b,Low,agree,low_or_medium,upward,sufficient,Low|agree|low_or_medium|upward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
84a9fc969bd6eac4710c4c16,High,agree,low_or_medium,stable,sufficient,High|agree|low_or_medium|stable|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
878871c0d97afd74286c5128,High,agree,low_or_medium,upward,sufficient,High|agree|low_or_medium|upward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
8e2ff3f48ff085f0f7c0ab9b,Low,agree,low_or_medium,stable,sufficient,Low|agree|low_or_medium|stable|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
90692fc16c80990fa2271fd3,Medium,agree,low_or_medium,downward,sufficient,Medium|agree|low_or_medium|downward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
93cee72dc2d16ac5f6117231,Medium,disagree,high,upward,sufficient,Medium|disagree|high|upward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
9cc5ad9b456976bd7bc37434,Low,agree,high,upward,sufficient,Low|agree|high|upward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
9d5d82b4fe35f2a6607d5c5d,Medium,agree,low_or_medium,stable,sufficient,Medium|agree|low_or_medium|stable|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
a1e01dc51aa189cda598f6aa,Low,disagree,high,upward,sufficient,Low|disagree|high|upward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
a3b1dd0f536d424e9262bd6e,Low,agree,low_or_medium,downward,sufficient,Low|agree|low_or_medium|downward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
a4090f004aa256bf8c7a96f0,High,disagree,high,stable,sufficient,High|disagree|high|stable|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
a561a05ecb4d44ced2942cdf,Medium,agree,high,downward,sufficient,Medium|agree|high|downward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
a68a89d0710a6524285ed148,Medium,disagree,high,downward,sufficient,Medium|disagree|high|downward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
a7b9178bbd41e8bbca408a54,High,disagree,high,downward,sufficient,High|disagree|high|downward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
b005fa32cd6fd69e3b06e60a,Medium,agree,low_or_medium,upward,sufficient,Medium|agree|low_or_medium|upward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
b9c3c090e69faa56ab720427,Low,agree,low_or_medium,downward,sufficient,Low|agree|low_or_medium|downward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
d04af29b0a169253b3521d10,Low,agree,high,upward,sufficient,Low|agree|high|upward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
da06f8b72909b9a7ee4fa9ff,Medium,agree,high,upward,sufficient,Medium|agree|high|upward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
daf657be3855e5bfc8f5ee7e,High,agree,low_or_medium,upward,sufficient,High|agree|low_or_medium|upward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
db3599fb464c2ac1fa2f40fa,Low,agree,low_or_medium,stable,sufficient,Low|agree|low_or_medium|stable|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
dc48bf961bb5f6beb1b1c80b,High,agree,low_or_medium,downward,sufficient,High|agree|low_or_medium|downward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
dd66b9a9850c3d7fd84fe4e8,Medium,agree,low_or_medium,upward,sufficient,Medium|agree|low_or_medium|upward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
df61fb7921e50a4ae94f9457,Medium,agree,low_or_medium,downward,sufficient,Medium|agree|low_or_medium|downward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
e2898a556f0e7e2fbda4ff7f,High,agree,high,upward,sufficient,High|agree|high|upward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
eedddd0351052f72c65cd5c4,High,agree,low_or_medium,downward,sufficient,High|agree|low_or_medium|downward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
f384bc5d635a130a1cc28a34,Low,agree,high,downward,sufficient,Low|agree|high|downward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
f5a6691e37387c88b42659c5,Medium,agree,low_or_medium,stable,sufficient,Medium|agree|low_or_medium|stable|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
technical-missing-evidence-00,Low,not_applicable,not_applicable,downward,insufficient,technical_insufficient_evidence,Missing or invalid core evidence must block action drafting and require advisor review.,
technical-missing-evidence-01,Medium,not_applicable,not_applicable,stable,insufficient,technical_insufficient_evidence,Missing or invalid core evidence must block action drafting and require advisor review.,
technical-missing-evidence-02,High,not_applicable,not_applicable,upward,insufficient,technical_insufficient_evidence,Missing or invalid core evidence must block action drafting and require advisor review.,
technical-missing-evidence-03,Low,not_applicable,not_applicable,downward,insufficient,technical_insufficient_evidence,Missing or invalid core evidence must block action drafting and require advisor review.,
technical-missing-evidence-04,Medium,not_applicable,not_applicable,stable,insufficient,technical_insufficient_evidence,Missing or invalid core evidence must block action drafting and require advisor review.,
technical-missing-evidence-05,High,not_applicable,not_applicable,upward,insufficient,technical_insufficient_evidence,Missing or invalid core evidence must block action drafting and require advisor review.,
technical-missing-evidence-06,Low,not_applicable,not_applicable,downward,insufficient,technical_insufficient_evidence,Missing or invalid core evidence must block action drafting and require advisor review.,
technical-missing-evidence-07,Medium,not_applicable,not_applicable,stable,insufficient,technical_insufficient_evidence,Missing or invalid core evidence must block action drafting and require advisor review.,
technical-missing-evidence-08,High,not_applicable,not_applicable,upward,insufficient,technical_insufficient_evidence,Missing or invalid core evidence must block action drafting and require advisor review.,
technical-missing-evidence-09,Low,not_applicable,not_applicable,downward,insufficient,technical_insufficient_evidence,Missing or invalid core evidence must block action drafting and require advisor review.,
technical-missing-evidence-10,Medium,not_applicable,not_applicable,stable,insufficient,technical_insufficient_evidence,Missing or invalid core evidence must block action drafting and require advisor review.,
technical-missing-evidence-11,High,not_applicable,not_applicable,upward,insufficient,technical_insufficient_evidence,Missing or invalid core evidence must block action drafting and require advisor review.,
