schema_version,reviewer_id,randomized_order,case_id,action_id,q2_action_relevance,action_comment
v6_2_expert_review_v1,E02,14,CASE-046,ASSESSMENT_COMPLETION,,
v6_2_expert_review_v1,E02,14,CASE-046,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E02,14,CASE-046,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,15,CASE-026,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E02,15,CASE-026,ASSESSMENT_COMPLETION,,
v6_2_expert_review_v1,E02,15,CASE-026,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E02,15,CASE-026,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,16,CASE-059,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E02,16,CASE-059,ASSESSMENT_COMPLETION,,
v6_2_expert_review_v1,E02,16,CASE-059,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E02,16,CASE-059,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,17,CASE-036,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E02,17,CASE-036,ASSESSMENT_COMPLETION,,
v6_2_expert_review_v1,E02,17,CASE-036,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E02,17,CASE-036,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,18,CASE-054,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E02,18,CASE-054,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,19,CASE-014,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E02,19,CASE-014,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,21,CASE-042,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E02,21,CASE-042,ASSESSMENT_COMPLETION,,
v6_2_expert_review_v1,E02,21,CASE-042,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E02,21,CASE-042,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,22,CASE-045,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,23,CASE-040,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,24,CASE-037,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E02,24,CASE-037,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,26,CASE-023,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E02,26,CASE-023,ASSESSMENT_COMPLETION,,
v6_2_expert_review_v1,E02,26,CASE-023,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E02,26,CASE-023,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,28,CASE-006,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E02,28,CASE-006,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,31,CASE-022,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E02,31,CASE-022,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,32,CASE-039,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E02,32,CASE-039,ASSESSMENT_COMPLETION,,
v6_2_expert_review_v1,E02,32,CASE-039,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E02,32,CASE-039,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,34,CASE-043,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E02,34,CASE-043,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,35,CASE-049,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E02,35,CASE-049,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,38,CASE-005,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E02,38,CASE-005,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E02,38,CASE-005,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,43,CASE-020,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,45,CASE-030,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E02,45,CASE-030,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E02,45,CASE-030,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,46,CASE-048,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E02,46,CASE-048,ASSESSMENT_COMPLETION,,
v6_2_expert_review_v1,E02,46,CASE-048,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E02,46,CASE-048,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,47,CASE-008,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E02,47,CASE-008,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E02,47,CASE-008,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,48,CASE-060,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,49,CASE-051,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E02,49,CASE-051,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,50,CASE-017,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,51,CASE-034,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,52,CASE-009,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E02,52,CASE-009,ASSESSMENT_COMPLETION,,
v6_2_expert_review_v1,E02,52,CASE-009,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E02,52,CASE-009,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,55,CASE-057,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E02,55,CASE-057,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,56,CASE-025,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,57,CASE-019,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E02,57,CASE-019,ASSESSMENT_COMPLETION,,
v6_2_expert_review_v1,E02,57,CASE-019,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E02,57,CASE-019,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,60,CASE-003,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E02,60,CASE-003,ASSESSMENT_COMPLETION,,
v6_2_expert_review_v1,E02,60,CASE-003,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E02,60,CASE-003,PROGRESS_MONITORING,,
