student_index,rank,item_id,intervention_name,score,explanation
4,3,remedial_class,Remedial Topic Bootcamps,0.8486,"Risk Match (30%): 0.99, Performance Need (20%): 0.66, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.95"
4,4,study_group,Facilitated Study Group,0.6072,"Risk Match (30%): 0.00, Performance Need (20%): 0.66, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.75"
4,5,attendance_monitoring,Daily Attendance Monitoring,0.5343,"Risk Match (30%): 0.00, Performance Need (20%): 0.60, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.90"
5,1,advanced_seminar,Advanced Subject Seminar,0.6435,"Risk Match (30%): 0.00, Performance Need (20%): 0.92, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.60"
5,2,remedial_class,Remedial Topic Bootcamps,0.5278,"Risk Match (30%): 0.08, Performance Need (20%): 0.04, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.95"
5,3,extra_exercises,Targeted Practice Exercises,0.4478,"Risk Match (30%): 0.08, Performance Need (20%): 0.04, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.90"
5,4,peer_tutoring,Peer-Led Study Tutoring,0.4378,"Risk Match (30%): 0.08, Performance Need (20%): 0.04, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.80"
5,5,attendance_monitoring,Daily Attendance Monitoring,0.4359,"Risk Match (30%): 0.17, Performance Need (20%): 0.22, Difficulty Fit (15%): 0.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.90"
6,1,peer_tutoring,Peer-Led Study Tutoring,0.9008,"Risk Match (30%): 1.00, Performance Need (20%): 0.98, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.80"
6,2,extra_exercises,Targeted Practice Exercises,0.8108,"Risk Match (30%): 1.00, Performance Need (20%): 0.98, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 0.00, Expected Effect (10%): 0.90"
6,3,remedial_class,Remedial Topic Bootcamps,0.7408,"Risk Match (30%): 1.00, Performance Need (20%): 0.98, Difficulty Fit (15%): 0.00, Time Fit (15%): 1.00, Prereq Fit (10%): 0.00, Expected Effect (10%): 0.95"
6,4,attendance_monitoring,Daily Attendance Monitoring,0.6475,"Risk Match (30%): 0.00, Performance Need (20%): 0.79, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.90"
6,5,counselor_meeting,Academic Counselor Consultation,0.6425,"Risk Match (30%): 0.00, Performance Need (20%): 0.79, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.85"
7,1,study_group,Facilitated Study Group,0.8422,"Risk Match (30%): 1.00, Performance Need (20%): 0.49, Difficulty Fit (15%): 1.00, Time Fit (15%): 0.80, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.75"
7,2,attendance_monitoring,Daily Attendance Monitoring,0.8138,"Risk Match (30%): 1.00, Performance Need (20%): 0.49, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.90"
7,3,counselor_meeting,Academic Counselor Consultation,0.8088,"Risk Match (30%): 1.00, Performance Need (20%): 0.49, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.85"
7,4,time_planning,Time Management Workshop,0.7933,"Risk Match (30%): 1.00, Performance Need (20%): 0.49, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.70"
7,5,stress_management,Stress & Lifestyle Management Workshop,0.7783,"Risk Match (30%): 1.00, Performance Need (20%): 0.49, Difficulty Fit (15%): 0.50, Time Fit (15%): 0.90, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.70"
8,1,extra_exercises,Targeted Practice Exercises,0.9001,"Risk Match (30%): 1.00, Performance Need (20%): 0.55, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.90"
8,2,peer_tutoring,Peer-Led Study Tutoring,0.8901,"Risk Match (30%): 1.00, Performance Need (20%): 0.55, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.80"
8,3,remedial_class,Remedial Topic Bootcamps,0.8301,"Risk Match (30%): 1.00, Performance Need (20%): 0.55, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.95"
8,4,study_group,Facilitated Study Group,0.5859,"Risk Match (30%): 0.00, Performance Need (20%): 0.55, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.75"
8,5,attendance_monitoring,Daily Attendance Monitoring,0.5214,"Risk Match (30%): 0.00, Performance Need (20%): 0.53, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.90"
9,1,extra_exercises,Targeted Practice Exercises,0.6122,"Risk Match (30%): 0.01, Performance Need (20%): 0.60, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.90"
9,2,peer_tutoring,Peer-Led Study Tutoring,0.6022,"Risk Match (30%): 0.01, Performance Need (20%): 0.60, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.80"
9,3,study_group,Facilitated Study Group,0.5956,"Risk Match (30%): 0.00, Performance Need (20%): 0.60, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.75"
9,4,attendance_monitoring,Daily Attendance Monitoring,0.5649,"Risk Match (30%): 0.13, Performance Need (20%): 0.56, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.90"
9,5,counselor_meeting,Academic Counselor Consultation,0.5599,"Risk Match (30%): 0.13, Performance Need (20%): 0.56, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.85"
10,1,counselor_meeting,Academic Counselor Consultation,0.6762,"Risk Match (30%): 1.00, Performance Need (20%): 0.21, Difficulty Fit (15%): 0.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.85"
10,2,attendance_monitoring,Daily Attendance Monitoring,0.6722,"Risk Match (30%): 0.97, Performance Need (20%): 0.21, Difficulty Fit (15%): 0.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.90"
10,3,study_group,Facilitated Study Group,0.6719,"Risk Match (30%): 1.00, Performance Need (20%): 0.01, Difficulty Fit (15%): 0.50, Time Fit (15%): 0.80, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.75"
10,4,time_planning,Time Management Workshop,0.6612,"Risk Match (30%): 1.00, Performance Need (20%): 0.21, Difficulty Fit (15%): 0.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.70"
10,5,stress_management,Stress & Lifestyle Management Workshop,0.6462,"Risk Match (30%): 1.00, Performance Need (20%): 0.21, Difficulty Fit (15%): 0.00, Time Fit (15%): 0.90, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.70"
11,1,extra_exercises,Targeted Practice Exercises,0.6122,"Risk Match (30%): 0.03, Performance Need (20%): 0.56, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.90"
11,2,peer_tutoring,Peer-Led Study Tutoring,0.6022,"Risk Match (30%): 0.03, Performance Need (20%): 0.56, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.80"
11,3,study_group,Facilitated Study Group,0.588,"Risk Match (30%): 0.00, Performance Need (20%): 0.56, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.75"
11,4,remedial_class,Remedial Topic Bootcamps,0.5422,"Risk Match (30%): 0.03, Performance Need (20%): 0.56, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.95"
11,5,attendance_monitoring,Daily Attendance Monitoring,0.5228,"Risk Match (30%): 0.00, Performance Need (20%): 0.54, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.90"
12,1,peer_tutoring,Peer-Led Study Tutoring,0.8488,"Risk Match (30%): 1.00, Performance Need (20%): 0.46, Difficulty Fit (15%): 1.00, Time Fit (15%): 0.84, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.80"
12,2,study_group,Facilitated Study Group,0.8439,"Risk Match (30%): 1.00, Performance Need (20%): 0.46, Difficulty Fit (15%): 1.00, Time Fit (15%): 0.84, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.75"
12,3,extra_exercises,Targeted Practice Exercises,0.8288,"Risk Match (30%): 1.00, Performance Need (20%): 0.46, Difficulty Fit (15%): 1.00, Time Fit (15%): 0.64, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.90"
12,4,time_planning,Time Management Workshop,0.7907,"Risk Match (30%): 1.00, Performance Need (20%): 0.48, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.70"
12,5,remedial_class,Remedial Topic Bootcamps,0.7288,"Risk Match (30%): 1.00, Performance Need (20%): 0.46, Difficulty Fit (15%): 0.50, Time Fit (15%): 0.44, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.95"
13,1,attendance_monitoring,Daily Attendance Monitoring,0.6201,"Risk Match (30%): 0.00, Performance Need (20%): 0.65, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.90"
13,2,counselor_meeting,Academic Counselor Consultation,0.6151,"Risk Match (30%): 0.00, Performance Need (20%): 0.65, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.85"
13,3,interactive_quiz,LMS Interactive Quizzing,0.6151,"Risk Match (30%): 0.00, Performance Need (20%): 0.65, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.85"
13,4,lms_onboarding,LMS Navigation Tutorial,0.6101,"Risk Match (30%): 0.00, Performance Need (20%): 0.65, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.80"
13,5,parent_sync,Parent-Teacher Engagement Sync,0.6051,"Risk Match (30%): 0.00, Performance Need (20%): 0.65, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.75"
14,1,counselor_meeting,Academic Counselor Consultation,0.9438,"Risk Match (30%): 1.00, Performance Need (20%): 0.80, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.85"
14,2,time_planning,Time Management Workshop,0.929,"Risk Match (30%): 1.00, Performance Need (20%): 0.80, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.70"
14,3,stress_management,Stress & Lifestyle Management Workshop,0.929,"Risk Match (30%): 1.00, Performance Need (20%): 0.80, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.70"
14,4,peer_tutoring,Peer-Led Study Tutoring,0.9034,"Risk Match (30%): 1.00, Performance Need (20%): 0.99, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.80"
14,5,study_group,Facilitated Study Group,0.8983,"Risk Match (30%): 1.00, Performance Need (20%): 0.99, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.75"
15,1,study_group,Facilitated Study Group,0.672,"Risk Match (30%): 1.00, Performance Need (20%): 0.01, Difficulty Fit (15%): 0.50, Time Fit (15%): 0.80, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.75"
15,2,time_planning,Time Management Workshop,0.6612,"Risk Match (30%): 1.00, Performance Need (20%): 0.21, Difficulty Fit (15%): 0.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.70"
15,3,advanced_seminar,Advanced Subject Seminar,0.5959,"Risk Match (30%): 0.00, Performance Need (20%): 0.98, Difficulty Fit (15%): 1.00, Time Fit (15%): 0.60, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.60"
15,4,remedial_class,Remedial Topic Bootcamps,0.5203,"Risk Match (30%): 0.38, Performance Need (20%): 0.01, Difficulty Fit (15%): 1.00, Time Fit (15%): 0.40, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.95"
15,5,peer_tutoring,Peer-Led Study Tutoring,0.4903,"Risk Match (30%): 0.38, Performance Need (20%): 0.01, Difficulty Fit (15%): 0.50, Time Fit (15%): 0.80, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.80"
16,1,remedial_class,Remedial Topic Bootcamps,0.7853,"Risk Match (30%): 0.93, Performance Need (20%): 0.06, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.95"
16,2,extra_exercises,Targeted Practice Exercises,0.7053,"Risk Match (30%): 0.93, Performance Need (20%): 0.06, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.90"
16,3,peer_tutoring,Peer-Led Study Tutoring,0.6953,"Risk Match (30%): 0.93, Performance Need (20%): 0.06, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.80"
16,4,advanced_seminar,Advanced Subject Seminar,0.6348,"Risk Match (30%): 0.00, Performance Need (20%): 0.87, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.60"
16,5,study_group,Facilitated Study Group,0.4126,"Risk Match (30%): 0.00, Performance Need (20%): 0.06, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.75"
17,1,counselor_meeting,Academic Counselor Consultation,0.9371,"Risk Match (30%): 0.98, Performance Need (20%): 0.79, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.85"
17,2,time_planning,Time Management Workshop,0.9288,"Risk Match (30%): 1.00, Performance Need (20%): 0.79, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.70"
17,3,stress_management,Stress & Lifestyle Management Workshop,0.9288,"Risk Match (30%): 1.00, Performance Need (20%): 0.79, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.70"
17,4,peer_tutoring,Peer-Led Study Tutoring,0.903,"Risk Match (30%): 1.00, Performance Need (20%): 0.99, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.80"
17,5,extra_exercises,Targeted Practice Exercises,0.813,"Risk Match (30%): 1.00, Performance Need (20%): 0.99, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 0.00, Expected Effect (10%): 0.90"
18,1,counselor_meeting,Academic Counselor Consultation,0.9187,"Risk Match (30%): 1.00, Performance Need (20%): 0.67, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.85"
18,2,time_planning,Time Management Workshop,0.9037,"Risk Match (30%): 1.00, Performance Need (20%): 0.67, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.70"
18,3,stress_management,Stress & Lifestyle Management Workshop,0.9037,"Risk Match (30%): 1.00, Performance Need (20%): 0.67, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.70"
18,4,peer_tutoring,Peer-Led Study Tutoring,0.837,"Risk Match (30%): 0.92, Performance Need (20%): 0.78, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.80"
18,5,extra_exercises,Targeted Practice Exercises,0.747,"Risk Match (30%): 0.92, Performance Need (20%): 0.78, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 0.00, Expected Effect (10%): 0.90"
19,1,study_group,Facilitated Study Group,0.8782,"Risk Match (30%): 1.00, Performance Need (20%): 0.67, Difficulty Fit (15%): 1.00, Time Fit (15%): 0.80, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.75"
19,2,attendance_monitoring,Daily Attendance Monitoring,0.8349,"Risk Match (30%): 1.00, Performance Need (20%): 0.60, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.90"
19,3,counselor_meeting,Academic Counselor Consultation,0.8299,"Risk Match (30%): 1.00, Performance Need (20%): 0.60, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.85"
19,4,time_planning,Time Management Workshop,0.8149,"Risk Match (30%): 1.00, Performance Need (20%): 0.60, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.70"
19,5,peer_tutoring,Peer-Led Study Tutoring,0.635,"Risk Match (30%): 0.17, Performance Need (20%): 0.67, Difficulty Fit (15%): 1.00, Time Fit (15%): 0.80, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.80"
20,1,counselor_meeting,Academic Counselor Consultation,0.8075,"Risk Match (30%): 1.00, Performance Need (20%): 0.49, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.85"
20,2,stress_management,Stress & Lifestyle Management Workshop,0.7925,"Risk Match (30%): 1.00, Performance Need (20%): 0.49, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.70"
20,3,extra_exercises,Targeted Practice Exercises,0.5887,"Risk Match (30%): 0.01, Performance Need (20%): 0.48, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.90"
20,4,peer_tutoring,Peer-Led Study Tutoring,0.5787,"Risk Match (30%): 0.01, Performance Need (20%): 0.48, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.80"
20,5,study_group,Facilitated Study Group,0.5711,"Risk Match (30%): 0.00, Performance Need (20%): 0.48, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.75"
21,1,attendance_monitoring,Daily Attendance Monitoring,0.9367,"Risk Match (30%): 0.99, Performance Need (20%): 0.74, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.90"
21,2,counselor_meeting,Academic Counselor Consultation,0.9317,"Risk Match (30%): 0.99, Performance Need (20%): 0.74, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.85"
21,3,peer_tutoring,Peer-Led Study Tutoring,0.88,"Risk Match (30%): 1.00, Performance Need (20%): 0.91, Difficulty Fit (15%): 0.50, Time Fit (15%): 0.96, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.80"
21,4,extra_exercises,Targeted Practice Exercises,0.76,"Risk Match (30%): 1.00, Performance Need (20%): 0.91, Difficulty Fit (15%): 0.50, Time Fit (15%): 0.76, Prereq Fit (10%): 0.00, Expected Effect (10%): 0.90"
21,5,remedial_class,Remedial Topic Bootcamps,0.66,"Risk Match (30%): 1.00, Performance Need (20%): 0.91, Difficulty Fit (15%): 0.00, Time Fit (15%): 0.56, Prereq Fit (10%): 0.00, Expected Effect (10%): 0.95"
22,1,time_planning,Time Management Workshop,0.9126,"Risk Match (30%): 1.00, Performance Need (20%): 0.71, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.70"
22,2,stress_management,Stress & Lifestyle Management Workshop,0.912,"Risk Match (30%): 1.00, Performance Need (20%): 0.71, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.70"
22,3,peer_tutoring,Peer-Led Study Tutoring,0.864,"Risk Match (30%): 1.00, Performance Need (20%): 0.86, Difficulty Fit (15%): 0.50, Time Fit (15%): 0.92, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.80"
22,4,study_group,Facilitated Study Group,0.859,"Risk Match (30%): 1.00, Performance Need (20%): 0.86, Difficulty Fit (15%): 0.50, Time Fit (15%): 0.92, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.75"
22,5,extra_exercises,Targeted Practice Exercises,0.744,"Risk Match (30%): 1.00, Performance Need (20%): 0.86, Difficulty Fit (15%): 0.50, Time Fit (15%): 0.72, Prereq Fit (10%): 0.00, Expected Effect (10%): 0.90"
23,1,attendance_monitoring,Daily Attendance Monitoring,0.9262,"Risk Match (30%): 1.00, Performance Need (20%): 0.68, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.90"
