record_id,source_row_number,dataset_version_id,source_record_identity,outer_fold,outer_role,inner_fold,split_seed,stratification_target
student-mat:dataset-version:1:source-row:44,44,1,student-mat:dataset-version:1:source-row:44,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:45,45,1,student-mat:dataset-version:1:source-row:45,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:46,46,1,student-mat:dataset-version:1:source-row:46,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:47,47,1,student-mat:dataset-version:1:source-row:47,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:48,48,1,student-mat:dataset-version:1:source-row:48,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:50,50,1,student-mat:dataset-version:1:source-row:50,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:51,51,1,student-mat:dataset-version:1:source-row:51,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:52,52,1,student-mat:dataset-version:1:source-row:52,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:57,57,1,student-mat:dataset-version:1:source-row:57,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:61,61,1,student-mat:dataset-version:1:source-row:61,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:63,63,1,student-mat:dataset-version:1:source-row:63,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:64,64,1,student-mat:dataset-version:1:source-row:64,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:66,66,1,student-mat:dataset-version:1:source-row:66,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:68,68,1,student-mat:dataset-version:1:source-row:68,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:70,70,1,student-mat:dataset-version:1:source-row:70,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:72,72,1,student-mat:dataset-version:1:source-row:72,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:76,76,1,student-mat:dataset-version:1:source-row:76,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:77,77,1,student-mat:dataset-version:1:source-row:77,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:79,79,1,student-mat:dataset-version:1:source-row:79,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:83,83,1,student-mat:dataset-version:1:source-row:83,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:85,85,1,student-mat:dataset-version:1:source-row:85,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:87,87,1,student-mat:dataset-version:1:source-row:87,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:90,90,1,student-mat:dataset-version:1:source-row:90,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:91,91,1,student-mat:dataset-version:1:source-row:91,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:94,94,1,student-mat:dataset-version:1:source-row:94,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:96,96,1,student-mat:dataset-version:1:source-row:96,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:97,97,1,student-mat:dataset-version:1:source-row:97,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:98,98,1,student-mat:dataset-version:1:source-row:98,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:100,100,1,student-mat:dataset-version:1:source-row:100,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:102,102,1,student-mat:dataset-version:1:source-row:102,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:103,103,1,student-mat:dataset-version:1:source-row:103,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:106,106,1,student-mat:dataset-version:1:source-row:106,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:108,108,1,student-mat:dataset-version:1:source-row:108,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:109,109,1,student-mat:dataset-version:1:source-row:109,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:111,111,1,student-mat:dataset-version:1:source-row:111,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:112,112,1,student-mat:dataset-version:1:source-row:112,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:113,113,1,student-mat:dataset-version:1:source-row:113,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:114,114,1,student-mat:dataset-version:1:source-row:114,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:115,115,1,student-mat:dataset-version:1:source-row:115,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:116,116,1,student-mat:dataset-version:1:source-row:116,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:117,117,1,student-mat:dataset-version:1:source-row:117,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:119,119,1,student-mat:dataset-version:1:source-row:119,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:120,120,1,student-mat:dataset-version:1:source-row:120,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:121,121,1,student-mat:dataset-version:1:source-row:121,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:122,122,1,student-mat:dataset-version:1:source-row:122,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:124,124,1,student-mat:dataset-version:1:source-row:124,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:125,125,1,student-mat:dataset-version:1:source-row:125,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:127,127,1,student-mat:dataset-version:1:source-row:127,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:128,128,1,student-mat:dataset-version:1:source-row:128,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:131,131,1,student-mat:dataset-version:1:source-row:131,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:133,133,1,student-mat:dataset-version:1:source-row:133,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:134,134,1,student-mat:dataset-version:1:source-row:134,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:137,137,1,student-mat:dataset-version:1:source-row:137,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:139,139,1,student-mat:dataset-version:1:source-row:139,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:141,141,1,student-mat:dataset-version:1:source-row:141,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:143,143,1,student-mat:dataset-version:1:source-row:143,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:144,144,1,student-mat:dataset-version:1:source-row:144,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:145,145,1,student-mat:dataset-version:1:source-row:145,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:146,146,1,student-mat:dataset-version:1:source-row:146,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:147,147,1,student-mat:dataset-version:1:source-row:147,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:148,148,1,student-mat:dataset-version:1:source-row:148,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:149,149,1,student-mat:dataset-version:1:source-row:149,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:152,152,1,student-mat:dataset-version:1:source-row:152,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:153,153,1,student-mat:dataset-version:1:source-row:153,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:154,154,1,student-mat:dataset-version:1:source-row:154,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:155,155,1,student-mat:dataset-version:1:source-row:155,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:156,156,1,student-mat:dataset-version:1:source-row:156,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:158,158,1,student-mat:dataset-version:1:source-row:158,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:159,159,1,student-mat:dataset-version:1:source-row:159,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:160,160,1,student-mat:dataset-version:1:source-row:160,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:161,161,1,student-mat:dataset-version:1:source-row:161,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:163,163,1,student-mat:dataset-version:1:source-row:163,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:164,164,1,student-mat:dataset-version:1:source-row:164,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:166,166,1,student-mat:dataset-version:1:source-row:166,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:167,167,1,student-mat:dataset-version:1:source-row:167,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:168,168,1,student-mat:dataset-version:1:source-row:168,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:169,169,1,student-mat:dataset-version:1:source-row:169,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:171,171,1,student-mat:dataset-version:1:source-row:171,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:172,172,1,student-mat:dataset-version:1:source-row:172,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:174,174,1,student-mat:dataset-version:1:source-row:174,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:175,175,1,student-mat:dataset-version:1:source-row:175,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:177,177,1,student-mat:dataset-version:1:source-row:177,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:178,178,1,student-mat:dataset-version:1:source-row:178,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:181,181,1,student-mat:dataset-version:1:source-row:181,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:183,183,1,student-mat:dataset-version:1:source-row:183,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:184,184,1,student-mat:dataset-version:1:source-row:184,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:186,186,1,student-mat:dataset-version:1:source-row:186,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:187,187,1,student-mat:dataset-version:1:source-row:187,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:189,189,1,student-mat:dataset-version:1:source-row:189,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:190,190,1,student-mat:dataset-version:1:source-row:190,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:191,191,1,student-mat:dataset-version:1:source-row:191,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:192,192,1,student-mat:dataset-version:1:source-row:192,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:194,194,1,student-mat:dataset-version:1:source-row:194,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:196,196,1,student-mat:dataset-version:1:source-row:196,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:197,197,1,student-mat:dataset-version:1:source-row:197,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:199,199,1,student-mat:dataset-version:1:source-row:199,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:200,200,1,student-mat:dataset-version:1:source-row:200,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:201,201,1,student-mat:dataset-version:1:source-row:201,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:202,202,1,student-mat:dataset-version:1:source-row:202,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:203,203,1,student-mat:dataset-version:1:source-row:203,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:206,206,1,student-mat:dataset-version:1:source-row:206,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:207,207,1,student-mat:dataset-version:1:source-row:207,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:208,208,1,student-mat:dataset-version:1:source-row:208,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:212,212,1,student-mat:dataset-version:1:source-row:212,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:213,213,1,student-mat:dataset-version:1:source-row:213,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:215,215,1,student-mat:dataset-version:1:source-row:215,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:217,217,1,student-mat:dataset-version:1:source-row:217,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:219,219,1,student-mat:dataset-version:1:source-row:219,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:221,221,1,student-mat:dataset-version:1:source-row:221,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:222,222,1,student-mat:dataset-version:1:source-row:222,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:227,227,1,student-mat:dataset-version:1:source-row:227,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:228,228,1,student-mat:dataset-version:1:source-row:228,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:230,230,1,student-mat:dataset-version:1:source-row:230,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:231,231,1,student-mat:dataset-version:1:source-row:231,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:232,232,1,student-mat:dataset-version:1:source-row:232,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:233,233,1,student-mat:dataset-version:1:source-row:233,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:234,234,1,student-mat:dataset-version:1:source-row:234,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:235,235,1,student-mat:dataset-version:1:source-row:235,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:236,236,1,student-mat:dataset-version:1:source-row:236,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:239,239,1,student-mat:dataset-version:1:source-row:239,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:240,240,1,student-mat:dataset-version:1:source-row:240,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:241,241,1,student-mat:dataset-version:1:source-row:241,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:242,242,1,student-mat:dataset-version:1:source-row:242,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:243,243,1,student-mat:dataset-version:1:source-row:243,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:244,244,1,student-mat:dataset-version:1:source-row:244,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:247,247,1,student-mat:dataset-version:1:source-row:247,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:249,249,1,student-mat:dataset-version:1:source-row:249,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:250,250,1,student-mat:dataset-version:1:source-row:250,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:251,251,1,student-mat:dataset-version:1:source-row:251,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:252,252,1,student-mat:dataset-version:1:source-row:252,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:253,253,1,student-mat:dataset-version:1:source-row:253,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:256,256,1,student-mat:dataset-version:1:source-row:256,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:257,257,1,student-mat:dataset-version:1:source-row:257,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:258,258,1,student-mat:dataset-version:1:source-row:258,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:260,260,1,student-mat:dataset-version:1:source-row:260,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:261,261,1,student-mat:dataset-version:1:source-row:261,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:262,262,1,student-mat:dataset-version:1:source-row:262,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:263,263,1,student-mat:dataset-version:1:source-row:263,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:264,264,1,student-mat:dataset-version:1:source-row:264,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:265,265,1,student-mat:dataset-version:1:source-row:265,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:267,267,1,student-mat:dataset-version:1:source-row:267,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:268,268,1,student-mat:dataset-version:1:source-row:268,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:269,269,1,student-mat:dataset-version:1:source-row:269,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:271,271,1,student-mat:dataset-version:1:source-row:271,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:272,272,1,student-mat:dataset-version:1:source-row:272,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:273,273,1,student-mat:dataset-version:1:source-row:273,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:274,274,1,student-mat:dataset-version:1:source-row:274,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:276,276,1,student-mat:dataset-version:1:source-row:276,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:277,277,1,student-mat:dataset-version:1:source-row:277,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:278,278,1,student-mat:dataset-version:1:source-row:278,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:280,280,1,student-mat:dataset-version:1:source-row:280,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:281,281,1,student-mat:dataset-version:1:source-row:281,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:286,286,1,student-mat:dataset-version:1:source-row:286,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:287,287,1,student-mat:dataset-version:1:source-row:287,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:288,288,1,student-mat:dataset-version:1:source-row:288,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:289,289,1,student-mat:dataset-version:1:source-row:289,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:290,290,1,student-mat:dataset-version:1:source-row:290,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:292,292,1,student-mat:dataset-version:1:source-row:292,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:293,293,1,student-mat:dataset-version:1:source-row:293,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:296,296,1,student-mat:dataset-version:1:source-row:296,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:297,297,1,student-mat:dataset-version:1:source-row:297,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:298,298,1,student-mat:dataset-version:1:source-row:298,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:300,300,1,student-mat:dataset-version:1:source-row:300,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:301,301,1,student-mat:dataset-version:1:source-row:301,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:302,302,1,student-mat:dataset-version:1:source-row:302,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:304,304,1,student-mat:dataset-version:1:source-row:304,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:305,305,1,student-mat:dataset-version:1:source-row:305,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:306,306,1,student-mat:dataset-version:1:source-row:306,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:308,308,1,student-mat:dataset-version:1:source-row:308,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:310,310,1,student-mat:dataset-version:1:source-row:310,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:311,311,1,student-mat:dataset-version:1:source-row:311,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:312,312,1,student-mat:dataset-version:1:source-row:312,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:313,313,1,student-mat:dataset-version:1:source-row:313,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:314,314,1,student-mat:dataset-version:1:source-row:314,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:315,315,1,student-mat:dataset-version:1:source-row:315,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:316,316,1,student-mat:dataset-version:1:source-row:316,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:319,319,1,student-mat:dataset-version:1:source-row:319,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:320,320,1,student-mat:dataset-version:1:source-row:320,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:323,323,1,student-mat:dataset-version:1:source-row:323,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:326,326,1,student-mat:dataset-version:1:source-row:326,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:327,327,1,student-mat:dataset-version:1:source-row:327,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:328,328,1,student-mat:dataset-version:1:source-row:328,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:330,330,1,student-mat:dataset-version:1:source-row:330,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:331,331,1,student-mat:dataset-version:1:source-row:331,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:335,335,1,student-mat:dataset-version:1:source-row:335,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:336,336,1,student-mat:dataset-version:1:source-row:336,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:339,339,1,student-mat:dataset-version:1:source-row:339,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:340,340,1,student-mat:dataset-version:1:source-row:340,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:341,341,1,student-mat:dataset-version:1:source-row:341,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:343,343,1,student-mat:dataset-version:1:source-row:343,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:344,344,1,student-mat:dataset-version:1:source-row:344,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:345,345,1,student-mat:dataset-version:1:source-row:345,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:346,346,1,student-mat:dataset-version:1:source-row:346,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:348,348,1,student-mat:dataset-version:1:source-row:348,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:349,349,1,student-mat:dataset-version:1:source-row:349,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:350,350,1,student-mat:dataset-version:1:source-row:350,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:351,351,1,student-mat:dataset-version:1:source-row:351,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:352,352,1,student-mat:dataset-version:1:source-row:352,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:353,353,1,student-mat:dataset-version:1:source-row:353,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:356,356,1,student-mat:dataset-version:1:source-row:356,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:359,359,1,student-mat:dataset-version:1:source-row:359,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:360,360,1,student-mat:dataset-version:1:source-row:360,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:361,361,1,student-mat:dataset-version:1:source-row:361,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:364,364,1,student-mat:dataset-version:1:source-row:364,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:365,365,1,student-mat:dataset-version:1:source-row:365,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:366,366,1,student-mat:dataset-version:1:source-row:366,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:367,367,1,student-mat:dataset-version:1:source-row:367,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:368,368,1,student-mat:dataset-version:1:source-row:368,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:369,369,1,student-mat:dataset-version:1:source-row:369,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:372,372,1,student-mat:dataset-version:1:source-row:372,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:373,373,1,student-mat:dataset-version:1:source-row:373,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:375,375,1,student-mat:dataset-version:1:source-row:375,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:376,376,1,student-mat:dataset-version:1:source-row:376,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:377,377,1,student-mat:dataset-version:1:source-row:377,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:378,378,1,student-mat:dataset-version:1:source-row:378,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:379,379,1,student-mat:dataset-version:1:source-row:379,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:381,381,1,student-mat:dataset-version:1:source-row:381,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:385,385,1,student-mat:dataset-version:1:source-row:385,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:386,386,1,student-mat:dataset-version:1:source-row:386,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:387,387,1,student-mat:dataset-version:1:source-row:387,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:389,389,1,student-mat:dataset-version:1:source-row:389,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:390,390,1,student-mat:dataset-version:1:source-row:390,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:392,392,1,student-mat:dataset-version:1:source-row:392,0,train,,42,G3_3class
